books,writer,rating,description,statistics,details,urls,genres,reading,will_read
La sociedad del cansancio,"['Byung-Chul Han', 'Byung-Chul Han']",3.89,"Byung-Chul Han, una de las voces filosóficas más innovadoras que ha surgido en Alemania recientemente, afirma en este inesperado best seller, cuya primera tirada se agotó en unas semanas, que la sociedad occidental está sufriendo un silencioso cambio de paradigma: el exceso de positividad está conduciendo a una sociedad del cansancio. Así como la sociedad disciplinaria foucaultiana producía criminales y locos, la sociedad que ha acuñado el eslogan Yes We Can produce individuos agotados, fracasados y depresivos. Según el autor, la resistencia solo es posible en relación con la coacción externa. La explotación a la que uno mismo se somete es mucho peor que la externa, ya que se ayuda del sentimiento de libertad. Esta forma de explotación resulta, asimismo, mucho más eficiente y productiva debido a que el individuo decide voluntariamente explotarse a sí mismo hasta la extenuación. Hoy en día carecemos de un tirano o de un rey al que oponernos diciendo No. En este sentido, obras como Indignaos, de Stéphane Hessel, no son de gran ayuda, ya que el propio sistema hace desaparecer aquello a lo que uno podría enfrentarse. Resulta muy difícil rebelarse cuando víctima y verdugo, explotador y explotado, son la misma persona. Han señala que la filosofía debería relajarse y convertirse en un juego productivo, lo que daría lugar a resultados completamente nuevos, que los occidentales deberíamos abandonar conceptos como originalidad, genialidad y creación de la nada y buscar una mayor flexibilidad en el pensamiento: “todos nosotros deberíamos jugar más y trabajar menos, entonces produciríamos más”. ¿O es acaso una coincidencia que los chinos, para quienes originalidad y genialidad son conceptos desconocidos, sean los responsables de casi toda invención –desde la pasta hasta los fuegos artificiales- que ha dejado huella en Occidente? Sin embargo, esto no deja de ser para el autor una utopía inalcanzable para una sociedad en la que todos, incluso el ejecutivo mejor pagado, trabajamos como esclavos aplazando indefinidamente el ocio.","20,173 ratings and 2,408 reviews","['80 pages, Kindle Edition', 'First published October 4, 2010']",https://www.goodreads.com/book/show/21954673,"['Philosophy', 'Nonfiction', 'Psychology', 'Sociology', 'Politics', 'Essays', 'Theory', '...more']","3,040 people are currently reading",38.4k people want to read
Unos ojos recién inaugurados,"['Martín Felipe Castagnet', 'Martín Felipe Castagnet']",4.25,"«Esta historia es una genealogía hilada por idiomas, libros y hebras de té, una mirada embelesada de un nieto hacia una abuela que, como un caleidoscopio, adopta múltiples formas cada vez que la mira. “Ahora pienso que es posible que ella y yo tuviéramos una amistad disfrazada por el parentesco”. También es, quizá, la construcción y reconstrucción de su propia identidad». —Natalia Rozenblum
Habló por teléfono con su abuela todas las noches durante más de quince años. Lo hizo mientras iba creciendo: atravesó el drama de la adolescencia, se fue de la casa de los padres, vivió solo, vivió con amigos, se casó, tuvo un hijo; mientras todo cambiaba, el hilo que enhebró esa música del tiempo fue la voz de su abuela, del otro lado de un cable enrulado. Cuando ella empezó a enfermar y sus movimientos se redujeron, Martín Felipe Castagnet supo que había que registrar lo que decía para protegerlo del efecto implacable del olvido. Así nació este libro, extraño y entrañable, que es la semblanza de una abuela pero también la historia íntima de una relación singular que atravesó el tiempo y dejó una marca indeleble en un escritor.",541 ratings and 125 reviews,"['80 pages, Paperback', 'First published April 1, 2023']",https://www.goodreads.com/book/show/124944498,['Nonfiction'],12 people are currently reading,649 people want to read
Sueños robados,"['Kristel Ralston', 'Kristel Ralston']",4.39,"Él ha esperado años para vengarse. La lealtad se paga con lealtad, pero el dolor se paga con la ruina absoluta.


Stavros Kuoros se ha ganado la reputación de tener hielo en la sangre y un iceberg en el corazón. Después de perder a Esther, a quien consideró como una madre y mentora, decide que la única forma de vengar su muerte es arruinar a los culpables. Le es indiferente si Paisley finge ser inocente, y menos le importa el placer que le provocan sus besos. Su intención es quebrarla, emocional y financieramente, hasta sentir que ha hecho justicia. A medida que pasa el tiempo, la arrogancia de Stavros da paso a la sensatez, aunque parece ya demasiado tarde para resarcir el caos que ha creado.

ha crecido en la red de manipulación y mentiras orquestada por su padrastro. En un intento de proteger el bienestar de su hermana, Paisley pone en marcha un plan arriesgado. El día que se encuentra con Stavros Kuoros se siente cautivada por él, pero cuando descubre las intenciones del enigmático empresario, ella decide cobrar la revancha. La pasión y el odio se mezclan en una batalla de voluntades en medio de la cual será complejo definir qué emociones son reales y cuáles son resultado del rencor.

No existe redención sin expiación, ni éxito sin sacrificio, pero ¿estarán preparados para aceptar la emoción que los consume a fuego lento o preferirán alejarse del otro, amparados en la hostilidad y el desprecio mutuo?",507 ratings and 57 reviews,"['614 pages, Kindle Edition', 'Published March 18, 2022']",https://www.goodreads.com/book/show/60457077,,93 people are currently reading,159 people want to read
Manual de resistencia,"['Pedro Sánchez', 'Irene Lozano', 'Pedro Sánchez']",2.87,"«Nunca una moción de censura ha triunfado en España»; «es imposible ganarle unas primarias al aparato de un partido»; «aquí nadie dimite para ser fiel a su palabra»… Uno tras otro, los lugares comunes de nuestra vida política han sido derribados por un hombre: Pedro Sánchez.

Su llegada a la Secretaría General del PSOE en 2014, en plena crisis económica global, abrió una nueva época en la formación política. Transcurridos dos años, era expulsado del liderazgo de su partido, al que regresó, aupado por la militancia, para ser investido presidente del Gobierno un año después. En cuestión de meses ha situado a nuestro país en primera línea de la defensa de valores y políticas progresistas, la justicia, el europeísmo, el feminismo y el ecologismo.

Ese recorrido vital lo narra el autor en este libro —verdadero Manual de resistencia— como parte de un proceso personal de resiliencia, que no se entendería sin la fortaleza de sus convicciones. Ha sido un cuatrienio de aceleración en la política, donde todo se ha vuelto imprevisible.

Sin duda, el momento es histórico: la crisis catalana, los cambios en los partidos y el auge del autoritarismo otorgan a nuestro presente una dimensión trascendental. En estas páginas, entreveradas de reflexiones políticas, acción, traiciones y coraje, el lector descubrirá, además, el lado más desconocido del presidente del Gobierno.",179 ratings and 27 reviews,"['320 pages, ebook', 'Published February 19, 2019']",https://www.goodreads.com/book/show/43843702,"['Nonfiction', 'Politics']",25 people are currently reading,110 people want to read
Eva: Alfa y Omega,"['Aurora Venturini', 'Aurora Venturini']",3.89,"Dos libros de Aurora Venturini en un único volumen. Uno de ellos, Eva. Alfa y Omega, que da cuenta de su amistad con Eva Perón, estuvo años esperando ser escrito; el otro, Pogrom del cabecita negra, esperó décadas por una reimpresión. Uno y otro funcionan como un todo: no sólo trazan nítidamente la trayectoria estilística de Venturini, sino que además hablan de su relación con el peronismo y su proceso de diástole y sístole, que comienza con la jefa espiritual del movimiento y recorre la sangre de sus venas: ""Los únicos privilegiados, mis grasitas"". En Eva. Alfa y Omega, su último libro escrito a la fecha, Venturini repasa su mitológica amistad con Eva Duarte de Perón en una ficción con preciosas incrustaciones de realidad (o viceversa). Pogrom del cabecita negra (1969) es una de las novelas fundamentales de la autora de Las primas, la historia sencilla, verdadera y desgarradora de uno de los abismos argentinos más profundos.",189 ratings and 20 reviews,"['224 pages, Paperback', 'First published March 1, 2014']",https://www.goodreads.com/book/show/30965883,,20 people are currently reading,370 people want to read
Gone Rogue,"['Marissa Meyer', 'Stephen Gilpin', 'Douglas Holgate', 'Marissa Meyer']",4.20,"The second graphic novel, and sequel to Wires and Nerve, Volume 1, from #1 New York Times and USA Today Bestseller Marissa Meyer!

The world of the Lunar Chronicles comes alive in this thrilling continuation of Wires and Nerve. Iko--an audacious android and best friend to the Lunar Queen Cinder--has been tasked with hunting down Alpha Lysander Steele, the leader of a rogue band of bioengineered wolf-soldiers who threaten to undo the tenuous peace agreement between Earth and Luna. Unless Cinder can reverse the mutations that were forced on them years before, Steele and his soldiers plan to satisfy their monstrous appetites with a massacre of the innocent people of Earth.

And to show he's serious, Steele is taking hostages.

Cinder and Kai, Scarlet and Wolf, Cress and Thorne, and Winter and Jacin all feature in this epic new battle. But it is Iko who must face her deepest fears when she uncovers the truth about her own unusual programming. Questions of love, friendship, and mortality take Iko on an emotional journey that will satisfy and delight fans of this bestselling series.","17,943 ratings and 2,533 reviews","['324 pages, Hardcover', 'First published January 30, 2018']",https://www.goodreads.com/book/show/34930815,"['Graphic Novels', 'Young Adult', 'Science Fiction', 'Fantasy', 'Comics', 'Romance', 'Fiction', '...more']",199 people are currently reading,21.8k people want to read
Relatos de vampiros,"['Meritxell Ribas', 'Meritxell Ribas']",4.13,"Los vampiros son los más sugerentes de los seres fantásticos, y tal vez los más antiguos. Existen en los folclores de casi todas las culturas, si bien la imagen que tenemos de ellos ha evolucionado y, paradójicamente, se ha humanizado con el tiempo. En esta antología se nos muestran 12 ejemplos de ese tránsito de criatura bestial a sofisticada mujer fatal o caballero de atractivo sobrehumano, procedentes de tradiciones tan dispares como la rusa, la francesa o la británica, y movimientos literarios como el romanticismo o el modernismo.

Berenice:
Deja a los muertos en paz:
El almohadón de plumas:
El invitado de Drácula:
El vampiro
La Dama Pálida:
La Familia del Vurdalak:
La Habitación de la Torre:
La Muerta Enamorada:
Porque la sangre es vida:
Carmilla:
Varney, el vampiro:",228 ratings and 58 reviews,"['318 pages, Hardcover', 'Published January 1, 2021']",https://www.goodreads.com/book/show/59342980,"['Vampires', 'Short Stories', 'Halloween', 'Suspense', 'Horror']",66 people are currently reading,416 people want to read
Lessons in Chemistry,"['Bonnie Garmus', 'Bonnie Garmus']",4.29,"The novel addresses the challenges faced by women in the 1960s, particularly in male-dominated fields like science, through the story of Elizabeth Zott, who confronts systemic sexism and discrimination that reflect broader societal issues of class and gender inequality. Education emerges as a crucial tool for empowerment, illustrating how knowledge can defy societal norms and enhance one's socio-economic status. The novel subtly critiques capitalist structures that restrict women's roles and opportunities, portraying Elizabeth's struggles against societal expectations as a challenge to the patriarchal norms of her time. Ultimately, the narrative explores personal and professional conflicts within a larger context of class struggles, highlighting the determination of women striving for equality.","1,534,993 ratings and 135,339 reviews","['390 pages, Hardcover', 'First published March 31, 2022']",https://www.goodreads.com/book/show/58065033,"['Fiction', 'Historical Fiction', 'Audiobook', 'Feminism', 'Historical', 'Book Club', 'Adult', '...more']",81k people are currently reading,947k people want to read
Conejo maldito,"['Bora Chung', 'Bora Chung']",3.77,"Las diez historias recogidas en este volumen plantean el terrible escenario,
fuente habitual de miedos adultos e infantiles, de que lo sobrenatural se apodere
del espacio doméstico y nuestra vida cotidiana. En «La cabeza», una mujer se
ve atormentada a diario por una extraña criatura que surge de su lavabo e
interfiere en su día a día, mientras que en «Conejo maldito» –el relato que da
nombre a esta espeluznante colección– es un objeto normal e inofensivo, una
lámpara con forma de roedor, la que extiende una maldición entre todas las
personas que la poseen. A medio camino entre el terror, la ciencia-ficción y la
literatura del absurdo, Bora Chung ha unificado en sus cuentos todas sus
obsesiones literarias: las leyendas tradicionales de Corea, la literatura europea
grotesca, los géneros fantásticos más retorcidos y una generosa dosis de terror
cotidiano, todo ello acompañado de un enfoque feminista, pues muchos de los
horrores que se describen en este libro tienen que ver con los retos, las penurias
y las desventajas de ser mujer en el primer mundo en el comienzo del siglo xxi.
En uno de los relatos, una mujer se queda embarazada de tanto tomar la píldora
anticonceptiva. En otra historia, una joven diseña un androide perfecto, tan
humano y tan vivo, que su amor le impide tomar la decisión lógica, la de
destruirlo. Cada relato nos lleva por caminos inesperados: asombro,
repugnancia, estupor, miedo, perplejidad; todos comienzan en un terreno
firme, conocido, pero rápidamente entran en el espacio del realismo mágico,
de lo ilógico, lo escalofriante o lo cruel. Una nueva voz del relato fantástico que
expande los límites del género con una personalidad arrolladora.","33,039 ratings and 6,355 reviews","['224 pages, Paperback', 'First published March 15, 2017']",https://www.goodreads.com/book/show/62980235,"['Short Stories', 'Horror', 'Fiction', 'Fantasy', 'Magical Realism', 'Science Fiction', 'Adult', '...more']","3,530 people are currently reading",94.3k people want to read
A Court of Mist and Fury,"['Sarah J. Maas', 'Sarah J. Maas']",4.65,"The seductive and stunning #1 New York Times bestselling sequel to Sarah J. Maas's spellbinding A Court of Thorns and Roses .

Feyre has undergone more trials than one human woman can carry in her heart. Though she's now been granted the powers and lifespan of the High Fae, she is haunted by her time Under the Mountain and the terrible deeds she performed to save the lives of Tamlin and his people.

As her marriage to Tamlin approaches, Feyre's hollowness and nightmares consume her. She finds herself split into two different one who upholds her bargain with Rhysand, High Lord of the feared Night Court, and one who lives out her life in the Spring Court with Tamlin. While Feyre navigates a dark web of politics, passion, and dazzling power, a greater evil looms. She might just be the key to stopping it, but only if she can harness her harrowing gifts, heal her fractured soul, and decide how she wishes to shape her future-and the future of a world in turmoil.

Bestselling author Sarah J. Maas's masterful storytelling brings this second book in her dazzling, sexy, action-packed series to new heights.","2,594,817 ratings and 215,009 reviews","['626 pages, Paperback', 'First published May 3, 2016']",https://www.goodreads.com/book/show/50659468,"['Fantasy', 'Romance', 'Young Adult', 'Romantasy', 'Fiction', 'New Adult', 'Fae', '...more']",139k people are currently reading,703k people want to read
A Court of Thorns and Roses,"['Sarah J. Maas', 'Sarah J. Maas']",4.18,"When nineteen-year-old huntress Feyre kills a wolf in the woods, a terrifying creature arrives to demand retribution. Dragged to a treacherous magical land she knows about only from legends, Feyre discovers that her captor is not truly a beast, but one of the lethal, immortal faeries who once ruled her world.

At least, he’s not a beast all the time.

As she adapts to her new home, her feelings for the faerie, Tamlin, transform from icy hostility into a fiery passion that burns through every lie she’s been told about the beautiful, dangerous world of the Fae. But something is not right in the faerie lands. An ancient, wicked shadow is growing, and Feyre must find a way to stop it, or doom Tamlin—and his world—forever.

From bestselling author Sarah J. Maas comes a seductive, breathtaking book that blends romance, adventure, and faerie lore into an unforgettable read.","3,418,291 ratings and 262,497 reviews","['419 pages, Paperback', 'First published May 5, 2015']",https://www.goodreads.com/book/show/50659467,"['Fantasy', 'Young Adult', 'Fiction', 'Romantasy', 'Audiobook', 'New Adult', 'Fae', '...more']",178k people are currently reading,2m people want to read
A Court of Frost and Starlight,"['Sarah J. Maas', 'Sarah J. Maas']",3.74,"Feyre, Rhysand, and their friends are still busy rebuilding the Night Court and the vastly altered world beyond, recovering from the war that changed everything. But Winter Solstice is finally approaching, and with it, the joy of a hard-earned reprieve.

Yet even the festive atmosphere can't keep the shadows of the past from looming. As Feyre navigates her first Winter Solstice as High Lady, her concern for those dearest to her deepens. They have more wounds than she anticipated-scars that will have a far-reaching impact on the future of their court.

Bridging the events of with the later books in the series, explores the far-reaching effects of a devastating war and the fierce love between friends.","1,688,486 ratings and 115,391 reviews","['272 pages, Paperback', 'First published May 1, 2018']",https://www.goodreads.com/book/show/50659471,"['Fantasy', 'Romance', 'Romantasy', 'Fiction', 'Young Adult', 'New Adult', 'Fantasy Romance', '...more']",58.5k people are currently reading,543k people want to read
A Court of Wings and Ruin,"['Sarah J. Maas', 'Sarah J. Maas']",4.47,"The epic third novel in the #1 New York Times bestselling Court of Thorns and Roses series by Sarah J. Maas.

Feyre has returned to the Spring Court, determined to gather information on Tamlin's actions and learn what she can about the invading king threatening to bring her land to its knees. But to do so she must play a deadly game of deceit. One slip could bring doom not only for Feyre, but for everything-and everyone-she holds dear.

As war bears down upon them all, Feyre endeavors to take her place amongst the High Fae of the land, balancing her struggle to master her powers-both magical and political-and her love for her court and family. Amidst these struggles, Feyre and Rhysand must decide whom to trust amongst the cunning and lethal High Lords, and hunt for allies in unexpected places.

In this thrilling third book in the #1 bestselling series from Sarah J. Maas, the fate of Feyre's world is at stake as armies grapple for power over the one thing that could destroy it.","2,167,591 ratings and 147,784 reviews","['703 pages, Paperback', 'First published May 2, 2017']",https://www.goodreads.com/book/show/50659472,"['Fantasy', 'Romance', 'Young Adult', 'Romantasy', 'Fiction', 'New Adult', 'Fae', '...more']",134k people are currently reading,642k people want to read
Apenas hombre,"['María Rascón', 'María Rascón']",3.57,,14 ratings and 7 reviews,,https://www.goodreads.com/book/show/58720403,,5 people want to read,
Contigo en el éter,"['Olivie Blake', 'Olivie Blake']",3.80,"Chicago, en algún momento...

Dos personas se conocen por casualidad en la Escuela de Arte. Antes de su inesperado encuentro, él es un estudiante de doctorado que lidia con sus pensamientos destructivos mediante cálculos compulsivos sobre viajes a través del tiempo; ella es una artista de las falsificaciones bipolar que se está sometiendo a psicoterapia. Al final de esta historia, nada de eso habrá cambiado. Pero esta no es una historia sobre finales.

Para Regan, la gente es predecible y aburrida, incluyéndose -quizás especialmente- a sí misma. Sobrelleva la monotonía de la existencia viviendo de manera impulsiva, imaginando que se crea una nueva línea temporal alternativa con cada decisión irreflexiva que toma.

Para Aldo, el mundo es un lugar caótico e inquietante. Supera sus días erigiendo un muro construido de rutinas: un conjunto de reglas y fórmulas que le permiten seguir adelante. Sin ellas, el marco de su existencia se derrumbaría.

Para Regan y Aldo, la vida ha sido cuestión de resignarse a los designios de lo inevitable, hasta que se conocen. ¿Podrían seis conversaciones con un extraño ser la variable que sacuda los cimientos de su vida?

Una exploración íntima y contemporánea del tiempo, el espacio y la naturaleza del amor; de cómo enfrentarte a tus propias fracturas y aun así amar como si no estuvieras roto.","93,840 ratings and 19,664 reviews","['320 pages, Paperback', 'First published June 20, 2020']",https://www.goodreads.com/book/show/79331476,"['Romance', 'Fiction', 'Contemporary', 'Literary Fiction', 'Mental Health', 'Adult', 'Contemporary Romance', '...more']","7,961 people are currently reading",334k people want to read
Bailar lento,"['Rainbow Rowell', 'Rainbow Rowell']",3.69,"Durante su adolescencia en Omaha, Shiloh solo podía pensar en huir. Al menos tenía a Cary. Cary, que la aguantaba. Cary, que la hacía reír. Cary, que a los dieciséis años parecía un bicho palo y ya conducía el coche hecho polvo de su madre. Él lo tenía todavía peor que Shiloh. Solo su amistad hizo que acabara el instituto, y cuando Shiloh se fue a la universidad, Cary se alistó en la Marina.

Eso fue hace una eternidad. Ahora Shiloh tiene treinta y tres y se siente igual de atrapada. Ha vuelto a vivir en la casa en la que creció. Trabaja en un teatro, pero no sobre el escenario, como había soñado. Y está divorciada y criando sola a sus hijos, exactamente igual que su madre (aunque sin su carrusel interminable de novios).

Cuando Mikey, el único amigo del instituto con el que todavía habla, la invita a su boda, lo último que le apetece es ponerse al día con su antiguo grupo. Pero se compra un vestido, se maquilla un poco y se pone una chaqueta vaquera porque todo en lo que puede pensar es en si Cary estará allí. ¿Querrá hablar con ella? ¿Después de todo lo que pasó?

La respuesta es sí. Y sí. Y sí.","38,919 ratings and 6,093 reviews","['448 pages, Paperback', 'First published July 30, 2024']",https://www.goodreads.com/book/show/214368406,"['Romance', 'Fiction', 'Audiobook', 'Contemporary', 'Adult', 'Adult Fiction', 'Chick Lit', '...more']","3,403 people are currently reading",86.7k people want to read
Por mano propia. Estudio sobre la prácticas suicidas,"['Diana Cohen Agrest', 'Diana Cohen Agrest']",3.86,"La autora analiza en esta obra el lugar que las prácticas suicidas han adquirido en el imaginario social y se pregunta acerca del sentido de la vida humana y el derecho de autodeterminar el fin de la propia existencia. A través de una exhaustiva investigación que recorre los discursos religioso, filosófico, cultural, psicoanalítico y médico se detiene en el aporte de pensadores como Platón, Spinoza, Kant, entre otros, y observa los argumentos que se han desarrollado en distintas épocas para dar cuenta de una decisión tan inquietante. También revisa algunos actos emblemáticos como el suicidio de Sócrates, la muerte de Jesús, el martirologio del cristianismo, las prácticas kamikaze y los suicidios homicidas contemporáneos.",14 ratings and 3 reviews,"['331 pages, Paperback', 'First published December 31, 2007']",https://www.goodreads.com/book/show/3342492,,2 people are currently reading,38 people want to read
